"timp","frecventa","tip","year","month"
1984-04-23,1.92568494341562,"Landsat","1984","04"
1984-05-09,28.3984436880112,"Landsat","1984","05"
1984-06-26,19.2228485764073,"Landsat","1984","06"
1984-08-29,0.130980577010011,"Landsat","1984","08"
1984-09-14,0.0652971018132503,"Landsat","1984","09"
1984-09-30,19.6069037196166,"Landsat","1984","09"
1984-11-01,0.839975735751516,"Landsat","1984","11"
1985-02-05,20.6184292376467,"Landsat","1985","02"
1985-02-21,0,"Landsat","1985","02"
1985-05-12,32.0033073561628,"Landsat","1985","05"
1985-06-13,3.91782610879502,"Landsat","1985","06"
1985-06-29,42.3465228327351,"Landsat","1985","06"
1985-07-15,19.0512987941287,"Landsat","1985","07"
1985-07-31,0,"Landsat","1985","07"
1985-09-01,30.5582709018341,"Landsat","1985","09"
1985-11-04,1.37162551146177,"Landsat","1985","11"
1986-03-28,87.6978714690302,"Landsat","1986","03"
1986-04-29,27.0755012228718,"Landsat","1986","04"
1986-05-15,0,"Landsat","1986","05"
1986-05-31,8.22086648094986,"Landsat","1986","05"
1986-06-16,59.2372216662739,"Landsat","1986","06"
1986-07-18,1.01963935908383,"Landsat","1986","07"
1986-08-03,0,"Landsat","1986","08"
1986-08-19,0.431965442764579,"Landsat","1986","08"
1986-09-04,0.299052998837016,"Landsat","1986","09"
1986-09-20,38.1845087455615,"Landsat","1986","09"
1986-10-06,0.137162551146177,"Landsat","1986","10"
1986-10-22,0.0618197413616571,"Landsat","1986","10"
1987-01-10,11.0641882102026,"Landsat","1987","01"
1987-02-27,3.32937944570874,"Landsat","1987","02"
1987-04-16,1.30748752979905,"Landsat","1987","04"
1987-05-18,0,"Landsat","1987","05"
1987-06-19,7.45043795423021,"Landsat","1987","06"
1987-07-21,0.0417283254191185,"Landsat","1987","07"
1987-09-07,0,"Landsat","1987","09"
1987-09-23,0.109730040916941,"Landsat","1987","09"
1987-10-25,49.9275549905918,"Landsat","1987","10"
1987-12-12,0.116298388436617,"Landsat","1987","12"
1988-01-05,96.7509862180614,"Landsat","1988","01"
1988-03-17,12.0042346522833,"Landsat","1988","03"
1988-05-04,97.4850956467311,"Landsat","1988","05"
1988-05-20,0.0587287542935742,"Landsat","1988","05"
1988-06-21,57.6387949786915,"Landsat","1988","06"
1988-07-07,0.0560241406090017,"Landsat","1988","07"
1988-07-15,0,"Landsat","1988","07"
1988-07-23,6.63634923517389,"Landsat","1988","07"
1988-07-31,17.625967382359,"Landsat","1988","07"
1988-08-08,17.9779535347369,"Landsat","1988","08"
1988-08-16,0.644470803695275,"Landsat","1988","08"
1988-08-24,78.4341832259859,"Landsat","1988","08"
1988-09-01,0.570287114061287,"Landsat","1988","09"
1988-09-09,36.0470911879822,"Landsat","1988","09"
1988-09-17,14.0438997438344,"Landsat","1988","09"
1988-09-25,8.81317687787124,"Landsat","1988","09"
1988-10-11,11.3949238264874,"Landsat","1988","10"
1988-10-27,0.70358593137236,"Landsat","1988","10"
1989-02-16,94.8299377552479,"Landsat","1989","02"
1989-03-20,72.1293423538639,"Landsat","1989","03"
1989-04-21,0,"Landsat","1989","04"
1989-08-11,71.7081953658376,"Landsat","1989","08"
1989-08-27,0.055251393841981,"Landsat","1989","08"
1989-10-14,0.146435512350425,"Landsat","1989","10"
1989-11-15,73.0863892248191,"Landsat","1989","11"
1990-01-18,27.6600841521229,"Landsat","1990","01"
1990-03-07,46.7905894898712,"Landsat","1990","03"
1990-03-23,0.391009864112481,"Landsat","1990","03"
1990-05-10,0,"Landsat","1990","05"
1990-06-11,98.7357862891541,"Landsat","1990","06"
1990-06-27,48.2700131753324,"Landsat","1990","06"
1990-07-13,41.6564599697856,"Landsat","1990","07"
1990-07-29,0.1081845473829,"Landsat","1990","07"
1990-08-14,0.0591151276770846,"Landsat","1990","08"
1990-08-30,0.689676489565987,"Landsat","1990","08"
1990-09-15,0.143730898665853,"Landsat","1990","09"
1990-10-01,0.0413419520356082,"Landsat","1990","10"
1990-10-17,0.0556377672254914,"Landsat","1990","10"
1990-11-18,0.205164266643999,"Landsat","1990","11"
1991-01-05,51.6724171905246,"Landsat","1991","01"
1991-01-21,26.5651019832546,"Landsat","1991","01"
1991-04-27,0.654130138283034,"Landsat","1991","04"
1991-06-14,0,"Landsat","1991","06"
1991-07-16,74.8227512103146,"Landsat","1991","07"
1991-08-01,55.139345560763,"Landsat","1991","08"
1991-08-17,5.13528864023615,"Landsat","1991","08"
1991-09-02,92.0507540076579,"Landsat","1991","09"
1991-11-05,60.5663461055495,"Landsat","1991","11"
1991-12-07,0.154549353404143,"Landsat","1991","12"
1992-04-13,94.8894392563085,"Landsat","1992","04"
1992-05-15,57.3536514216609,"Landsat","1992","05"
1992-06-16,1.35192046890274,"Landsat","1992","06"
1992-06-24,0,"Landsat","1992","06"
1992-07-02,0,"Landsat","1992","07"
1992-07-10,0.230664909955683,"Landsat","1992","07"
1992-07-18,32.3297928652291,"Landsat","1992","07"
1992-07-26,2.79772966999849,"Landsat","1992","07"
1992-08-03,0.0386373383510357,"Landsat","1992","08"
1992-08-19,0.0703199557988849,"Landsat","1992","08"
1992-09-04,0.276643342593415,"Landsat","1992","09"
1992-09-20,81.4343725489438,"Landsat","1992","09"
1992-11-23,19.5512659523911,"Landsat","1992","11"
1993-01-10,4.10328533287999,"Landsat","1993","01"
1993-01-26,1.38244396620006,"Landsat","1993","01"
1993-02-27,4.30960871967452,"Landsat","1993","02"
1993-05-02,21.3185378085674,"Landsat","1993","05"
1993-06-03,80.8165615087108,"Landsat","1993","06"
1993-06-19,42.3403408585989,"Landsat","1993","06"
1993-07-21,0.0776610500855817,"Landsat","1993","07"
1993-08-06,0.160344954156798,"Landsat","1993","08"
1993-08-22,0.202073279575917,"Landsat","1993","08"
1993-09-07,0.0946614789600374,"Landsat","1993","09"
1993-09-23,0.278575209510967,"Landsat","1993","09"
1993-10-09,98.6963762040361,"Landsat","1993","10"
1994-01-29,43.6161457709501,"Landsat","1994","01"
1994-02-14,0.407237546219916,"Landsat","1994","02"
1994-03-18,0.0989115861786513,"Landsat","1994","03"
1994-04-03,16.9594732958036,"Landsat","1994","04"
1994-05-05,0.120548495655231,"Landsat","1994","05"
1994-05-21,15.2988404934761,"Landsat","1994","05"
1994-06-22,0.0880931314403613,"Landsat","1994","06"
1994-07-24,21.6871380164363,"Landsat","1994","07"
1994-09-10,95.5474331284266,"Landsat","1994","09"
1994-09-26,0.196664052206772,"Landsat","1994","09"
1994-10-12,0.917250412453587,"Landsat","1994","10"
1994-10-28,0.8990908634286,"Landsat","1994","10"
1994-11-29,98.2729109757087,"Landsat","1994","11"
1995-02-01,0,"Landsat","1995","02"
1995-03-05,0.562173273007569,"Landsat","1995","03"
1995-03-21,98.6407384368106,"Landsat","1995","03"
1995-04-22,0,"Landsat","1995","04"
1995-05-08,56.6025415641167,"Landsat","1995","05"
1995-06-09,2.77686550728893,"Landsat","1995","06"
1995-07-11,51.2636341507706,"Landsat","1995","07"
1995-07-27,5.99419667177967,"Landsat","1995","07"
1995-08-12,42.4705486888419,"Landsat","1995","08"
1995-09-13,0.0807520371536646,"Landsat","1995","09"
1996-04-24,0,"Landsat","1996","04"
1996-05-10,2.08564352418891,"Landsat","1996","05"
1996-06-11,0.141412658364791,"Landsat","1996","06"
1996-06-27,71.9060185381949,"Landsat","1996","06"
1996-07-13,4.97146632562776,"Landsat","1996","07"
1996-07-29,0.170777035511578,"Landsat","1996","07"
1996-08-14,46.7604523659574,"Landsat","1996","08"
1996-09-15,11.4188789762651,"Landsat","1996","09"
1996-10-01,0.0892522515908924,"Landsat","1996","10"
1996-11-02,5.51122994239173,"Landsat","1996","11"
1997-04-11,52.2519772657901,"Landsat","1997","04"
1997-04-27,23.858942805148,"Landsat","1997","04"
1997-05-13,0.0900249983579131,"Landsat","1997","05"
1997-06-14,0.872044726582875,"Landsat","1997","06"
1997-06-30,8.15479663236959,"Landsat","1997","06"
1997-07-16,27.8961582894478,"Landsat","1997","07"
1997-08-01,61.0732679847151,"Landsat","1997","08"
1997-08-17,0.0540922736914499,"Landsat","1997","08"
1997-09-02,4.04223833828535,"Landsat","1997","09"
1997-09-18,0.0850021443722785,"Landsat","1997","09"
1997-10-04,0.0919568652754649,"Landsat","1997","10"
1997-10-20,0.655289258433565,"Landsat","1997","10"
1997-11-05,1.19853023564913,"Landsat","1997","11"
1998-01-24,0.530104282176209,"Landsat","1998","01"
1998-04-14,11.5606780080134,"Landsat","1998","04"
1998-06-01,6.12092714157107,"Landsat","1998","06"
1998-06-17,41.0672405599323,"Landsat","1998","06"
1998-07-03,1.52926585193399,"Landsat","1998","07"
1998-07-19,0,"Landsat","1998","07"
1998-08-04,0,"Landsat","1998","08"
1998-08-20,35.9134059972877,"Landsat","1998","08"
1998-09-05,0.571446234211818,"Landsat","1998","09"
1998-10-23,2.41212903325516,"Landsat","1998","10"
1998-11-08,0.492239690592194,"Landsat","1998","11"
1999-02-28,6.73719268827009,"Landsat","1999","02"
1999-05-19,0.0401828318850771,"Landsat","1999","05"
1999-06-20,80.6890582921524,"Landsat","1999","06"
1999-07-06,0,"Landsat","1999","07"
1999-07-22,0.154549353404143,"Landsat","1999","07"
1999-07-30,78.6200288234544,"Landsat","1999","07"
1999-08-07,0,"Landsat","1999","08"
1999-08-15,15.9606980994293,"Landsat","1999","08"
1999-08-23,38.5071305207927,"Landsat","1999","08"
1999-08-31,24.6436671470576,"Landsat","1999","08"
1999-09-24,0.0425010721861392,"Landsat","1999","09"
1999-10-02,0,"Landsat","1999","10"
1999-10-18,97.3850249404019,"Landsat","1999","10"
1999-11-03,2.09878021922826,"Landsat","1999","11"
1999-11-19,0.435829176599682,"Landsat","1999","11"
2000-01-22,76.0603051576983,"Landsat","2000","01"
2000-02-07,95.2321524474822,"Landsat","2000","02"
2000-02-23,12.9017800221778,"Landsat","2000","02"
2000-03-26,0.0386373383510357,"Landsat","2000","03"
2000-04-19,50.0635584215875,"Landsat","2000","04"
2000-04-27,50.3792254759154,"Landsat","2000","04"
2000-05-05,0,"Landsat","2000","05"
2000-05-13,0.172708902429129,"Landsat","2000","05"
2000-05-29,0.188550211153054,"Landsat","2000","05"
2000-06-06,11.0893024801307,"Landsat","2000","06"
2000-06-14,0,"Landsat","2000","06"
2000-07-08,23.9640363654629,"Landsat","2000","07"
2000-07-24,0,"Landsat","2000","07"
2000-08-09,3.1373518741041,"Landsat","2000","08"
2000-08-17,1.03470792104074,"Landsat","2000","08"
2000-09-10,0,"Landsat","2000","09"
2000-09-18,7.87738054300915,"Landsat","2000","09"
2000-10-04,0.501512651796443,"Landsat","2000","10"
2000-12-23,4.42629348149465,"Landsat","2000","12"
2000-12-31,83.6811337740566,"Landsat","2000","12"
2001-01-08,74.5414713871191,"Landsat","2001","01"
2001-02-09,13.3974970732216,"Landsat","2001","02"
2001-03-13,0.29248465131734,"Landsat","2001","03"
2001-04-14,28.4938779137383,"Landsat","2001","04"
2001-04-30,0.0865476379063199,"Landsat","2001","04"
2001-05-08,0,"Landsat","2001","05"
2001-05-16,0,"Landsat","2001","05"
2001-06-17,0.0579560075265535,"Landsat","2001","06"
2001-07-03,42.6266435357801,"Landsat","2001","07"
2001-07-19,0,"Landsat","2001","07"
2001-07-27,16.2462280298435,"Landsat","2001","07"
2001-08-04,0,"Landsat","2001","08"
2001-09-05,78.3827955659791,"Landsat","2001","09"
2001-09-13,98.0878381250072,"Landsat","2001","09"
2001-09-21,0.0850021443722785,"Landsat","2001","09"
2001-09-29,57.9560075265535,"Landsat","2001","09"
2001-10-07,20.0933478094561,"Landsat","2001","10"
2001-12-10,76.6989803606409,"Landsat","2001","12"
2001-12-18,63.6360826375393,"Landsat","2001","12"
2001-12-26,44.1079990881588,"Landsat","2001","12"
2002-01-27,19.1448011529382,"Landsat","2002","01"
2002-02-12,69.2446786725756,"Landsat","2002","02"
2002-02-20,47.5447903344834,"Landsat","2002","02"
2002-03-08,44.9642025060178,"Landsat","2002","03"
2002-04-01,0,"Landsat","2002","04"
2002-05-03,0.375941302155577,"Landsat","2002","05"
2002-05-19,33.4212976736459,"Landsat","2002","05"
2002-06-20,49.3429720613406,"Landsat","2002","06"
2002-06-28,55.9650254813246,"Landsat","2002","06"
2002-07-06,0.167686048443495,"Landsat","2002","07"
2002-07-22,84.0470293682409,"Landsat","2002","07"
2002-08-07,81.5719214734735,"Landsat","2002","08"
2002-08-23,0.04327381895316,"Landsat","2002","08"
2002-09-08,12.0332126560466,"Landsat","2002","09"
2002-11-11,13.8000981388394,"Landsat","2002","11"
2002-12-13,52.7225800469057,"Landsat","2002","12"
2003-04-04,44.5758972555899,"Landsat","2003","04"
2003-04-20,0.0865476379063199,"Landsat","2003","04"
2003-07-01,4.12569498912359,"Landsat","2003","07"
2003-07-17,13.6613900941592,"Landsat","2003","07"
2003-08-02,6.61200771201274,"Landsat","2003","08"
2003-08-18,0,"Landsat","2003","08"
2003-08-26,6.19240621752049,"Landsat","2003","08"
2003-09-03,22.6685264105526,"Landsat","2003","09"
2003-09-19,0.0537059003079396,"Landsat","2003","09"
2003-10-29,5.31842962402006,"Landsat","2003","10"
2003-11-14,85.058554886271,"Landsat","2003","11"
2003-12-16,90.6146041411499,"Landsat","2003","12"
2004-03-13,5.3906814467365,"Landsat","2004","03"
2004-04-22,49.711958642593,"Landsat","2004","04"
2004-04-30,0.210573494013144,"Landsat","2004","04"
2004-05-08,5.61130064872091,"Landsat","2004","05"
2004-05-16,22.9602383151029,"Landsat","2004","05"
2004-06-01,34.63798745832,"Landsat","2004","06"
2004-06-09,89.3345491215801,"Landsat","2004","06"
2004-06-25,4.92587426637354,"Landsat","2004","06"
2004-07-11,27.9572052840424,"Landsat","2004","07"
2004-07-27,63.1249106511551,"Landsat","2004","07"
2004-08-12,69.4602750205744,"Landsat","2004","08"
2004-09-13,6.52236908703833,"Landsat","2004","09"
2004-09-21,0.0386373383510357,"Landsat","2004","09"
2005-01-11,10.165870093541,"Landsat","2005","01"
2005-02-28,6.10122209901204,"Landsat","2005","02"
2005-03-08,5.08080999316119,"Landsat","2005","03"
2005-03-16,0.23800600424238,"Landsat","2005","03"
2005-03-24,4.72496010694815,"Landsat","2005","03"
2005-04-01,7.04745051522891,"Landsat","2005","04"
2005-04-09,3.26330959712847,"Landsat","2005","04"
2005-04-17,1.78813601888593,"Landsat","2005","04"
2005-05-03,27.8366567883872,"Landsat","2005","05"
2005-06-12,58.0070088131769,"Landsat","2005","06"
2005-06-20,74.8884346855114,"Landsat","2005","06"
2005-06-28,50.6651417797131,"Landsat","2005","06"
2005-07-22,0.457466086076262,"Landsat","2005","07"
2005-07-30,5.26742833739669,"Landsat","2005","07"
2005-08-31,22.4440434747331,"Landsat","2005","08"
2005-09-16,4.54297824331477,"Landsat","2005","09"
2005-12-05,97.1899063817292,"Landsat","2005","12"
2006-02-07,12.0934869038742,"Landsat","2006","02"
2006-02-15,0.669198700239938,"Landsat","2006","02"
2006-02-23,51.222292198735,"Landsat","2006","02"
2006-04-04,7.81131069442888,"Landsat","2006","04"
2006-05-14,6.04133422456794,"Landsat","2006","05"
2006-05-22,0.253074566199284,"Landsat","2006","05"
2006-06-15,54.6076957850528,"Landsat","2006","06"
2006-07-09,1.52501574471538,"Landsat","2006","07"
2006-07-25,0.483353102771456,"Landsat","2006","07"
2006-08-10,3.87725690352643,"Landsat","2006","08"
2006-08-18,5.71407596873467,"Landsat","2006","08"
2006-09-03,8.38816615600985,"Landsat","2006","09"
2006-09-11,5.96792328170097,"Landsat","2006","09"
2006-10-13,39.4730639795686,"Landsat","2006","10"
2006-11-14,57.3277644049657,"Landsat","2006","11"
2007-01-01,75.4428804908488,"Landsat","2007","01"
2007-01-17,20.3931735550601,"Landsat","2007","01"
2007-02-02,15.1524049811257,"Landsat","2007","02"
2007-02-10,8.36846111345082,"Landsat","2007","02"
2007-03-06,2.49172195025829,"Landsat","2007","03"
2007-03-14,7.11004300335758,"Landsat","2007","03"
2007-03-30,7.98208772994046,"Landsat","2007","03"
2007-05-09,1.50646982230688,"Landsat","2007","05"
2007-06-10,36.2491644675582,"Landsat","2007","06"
2007-06-18,2.96812033212656,"Landsat","2007","06"
2007-06-26,12.7267528794476,"Landsat","2007","06"
2007-07-20,3.61259113582184,"Landsat","2007","07"
2007-07-28,0,"Landsat","2007","07"
2007-08-05,97.3162504781371,"Landsat","2007","08"
2007-08-13,43.4890289277752,"Landsat","2007","08"
2007-09-14,12.8024820626157,"Landsat","2007","09"
2007-09-22,6.12594999555671,"Landsat","2007","09"
2007-09-30,0.316053427711472,"Landsat","2007","09"
2007-10-08,6.77776189353868,"Landsat","2007","10"
2007-11-09,44.916678579846,"Landsat","2007","11"
2008-03-16,2.28423944331323,"Landsat","2008","03"
2008-04-17,67.6319561698034,"Landsat","2008","04"
2008-04-25,5.03019507992133,"Landsat","2008","04"
